frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
119	3.966667	163298944804500	163298944872833	catransaction-completed	163298944801541	0
120	4.000000	163298978160958	163298978307041	catransaction-completed	163298978157333	0
121	4.033333	163299011478833	163299011558125	catransaction-completed	163299011474708	0
122	4.066667	163299044825083	163299044996625	catransaction-completed	163299044806916	0
123	4.100000	163299078151291	163299078264708	catransaction-completed	163299078143416	0
124	4.133333	163299111471875	163299111545041	catransaction-completed	163299111467250	0
125	4.166667	163299144812750	163299144928791	catransaction-completed	163299144806125	0
126	4.200000	163299178162250	163299178244875	catransaction-completed	163299178158083	0
127	4.233333	163299211503000	163299211642291	catransaction-completed	163299211493541	0
128	4.266667	163299244821250	163299244970583	catransaction-completed	163299244815000	0
129	4.300000	163299278168666	163299278321333	catransaction-completed	163299278154791	0
130	4.333333	163299311478125	163299311642291	catransaction-completed	163299311469208	0
131	4.366667	163299344835083	163299345075166	catransaction-completed	163299344818791	0
132	4.400000	163299378172666	163299378511333	catransaction-completed	163299378158041	0
133	4.433333	163299411487416	163299411788250	catransaction-completed	163299411476291	0
134	4.466667	163299444808958	163299444994833	catransaction-completed	163299444800333	0
135	4.500000	163299478132791	163299478340416	catransaction-completed	163299478127333	0
136	4.533333	163299511472875	163299511662125	catransaction-completed	163299511461125	0
137	4.566667	163299544810875	163299544981541	catransaction-completed	163299544801625	0
138	4.600000	163299578158083	163299578367458	catransaction-completed	163299578146000	0
139	4.633333	163299611479166	163299611661916	catransaction-completed	163299611470875	0
140	4.666667	163299644822333	163299645051250	catransaction-completed	163299644810833	0
141	4.700000	163299678158000	163299678400583	catransaction-completed	163299678141291	0
142	4.733333	163299711538916	163299711871416	catransaction-completed	163299711521333	0
143	4.766667	163299744829666	163299744913166	catransaction-completed	163299744820125	0
144	4.800000	163299778163208	163299778444833	catransaction-completed	163299778149375	0
145	4.833333	163299811485041	163299811656333	catransaction-completed	163299811479000	0
146	4.866667	163299844805416	163299844879125	catransaction-completed	163299844802125	0
