frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
122	4.066667	163236774383250	163236798689000	drawable-presented	163236774243500	0
123	4.100000	163236816153875	163236840355666	drawable-presented	163236815961583	0
124	4.133333	163236841020041	163236865355708	drawable-presented	163236840880416	0
125	4.166667	163236874415958	163236898689125	drawable-presented	163236874236291	0
126	4.200000	163236907824041	163236932022458	drawable-presented	163236907641750	0
127	4.233333	163236941093958	163236965355833	drawable-presented	163236940897250	0
128	4.266667	163236974592666	163236998689208	drawable-presented	163236974235708	0
129	4.300000	163237015963041	163237040356000	drawable-presented	163237015878125	0
130	4.333333	163237040999083	163237065356041	drawable-presented	163237040882500	0
131	4.366667	163237074450333	163237098689458	drawable-presented	163237074249125	0
132	4.400000	163237107891666	163237123689458	drawable-presented	163237107589333	0
133	4.433333	163237141000375	163237165356208	drawable-presented	163237140888375	0
134	4.466667	163237182651041	163237207022916	drawable-presented	163237182536041	0
135	4.500000	163237215918583	163237240356250	drawable-presented	163237215865916	0
136	4.533333	163237249260916	163237273689625	drawable-presented	163237249194291	0
137	4.566667	163237282576416	163237298689666	drawable-presented	163237282531625	0
138	4.600000	163237315935000	163237340356375	drawable-presented	163237315870583	0
139	4.633333	163237349263083	163237373689833	drawable-presented	163237349208375	0
140	4.666667	163237382615833	163237398689833	drawable-presented	163237382543625	0
141	4.700000	163237416023208	163237440356541	drawable-presented	163237415870583	0
142	4.733333	163237441014333	163237465356583	drawable-presented	163237440879958	0
143	4.766667	163237482937041	163237507023333	drawable-presented	163237482588375	0
144	4.800000	163237507716125	163237532023375	drawable-presented	163237507597583	0
145	4.833333	163237541132333	163237565356750	drawable-presented	163237540919375	0
146	4.866667	163237574368041	163237598690083	drawable-presented	163237574220541	0
147	4.900000	163237616095666	163237640356833	drawable-presented	163237615876375	0
148	4.933333	163237649370958	163237673690208	drawable-presented	163237649217500	0
149	4.966667	163237674393416	163237690356958	drawable-presented	163237674217666	0
150	5.000000	163237707956500	163237732023625	drawable-presented	163237707563375	0
151	5.033333	163237741451833	163237765357000	drawable-presented	163237740961166	0
152	5.066667	163237782583416	163237807023750	drawable-presented	163237782522250	0
153	5.100000	163237815972750	163237840357083	drawable-presented	163237815878958	0
154	5.133333	163237849295791	163237873690500	drawable-presented	163237849199083	0
