frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
159	5.300000	162991290191458	162991327452875	consumed-notification	162991453175458	162991327458458
160	5.333333	162991327607375	162991364905958	consumed-notification	162991486560291	162991364910500
161	5.366667	162991365019625	162991383622541	consumed-notification	162991519837708	162991383627333
162	5.400000	162991383740333	162991420712416	consumed-notification	162991553172791	162991420717166
163	5.433333	162991420824833	162991456342875	consumed-notification	162991586502416	162991456347500
164	5.466667	162991456495625	162991493777541	consumed-notification	162991619850833	162991493782083
165	5.500000	162991493886333	162991529619500	consumed-notification	162991653180458	162991529624000
166	5.533333	162991529778166	162991567044833	consumed-notification	162991686501750	162991567049750
167	5.566667	162991567169000	162991585000416	consumed-notification	162991719839958	162991585004541
168	5.600000	162991585159000	162991620932708	consumed-notification	162991753175583	162991620936625
169	5.633333	162991621099291	162991656683250	consumed-notification	162991786512041	162991656688416
170	5.666667	162991656807708	162991694106916	consumed-notification	162991819857291	162991694111333
171	5.700000	162991694202916	162991731296208	consumed-notification	162991853183583	162991731300125
172	5.733333	162991731415583	162991750015500	consumed-notification	162991886522875	162991750018958
173	5.766667	162991750121291	162991786865708	consumed-notification	162991919837958	162991786869916
174	5.800000	162991786973500	162991824285833	consumed-notification	162991953175208	162991824289791
175	5.833333	162991824390125	162991861706666	consumed-notification	162991986508333	162991861710750
176	5.866667	162991861798708	162991899114833	consumed-notification	162992019840708	162991899119125
177	5.900000	162991899224291	162991917845541	consumed-notification	162992053178083	162991917850083
178	5.933333	162991917950333	162991954238666	consumed-notification	162992086509791	162991954242333
179	5.966667	162991954333208	162991991676208	consumed-notification	162992119838958	162991991681291
180	6.000000	162991991798875	162992028657208	consumed-notification	162992153169625	162992028661958
181	6.033333	162992028755250	162992066055208	consumed-notification	162992186496083	162992066058750
182	6.066667	162992066160958	162992084814041	consumed-notification	162992219840041	162992084818000
183	6.100000	162992084920125	162992120946750	consumed-notification	162992253169583	162992120950708
184	6.133333	162992121098458	162992158415083	consumed-notification	162992286727166	162992158421250
185	6.166667	162992158540000	162992194085041	consumed-notification	162992319833458	162992194088458
186	6.200000	162992194172916	162992229730000	consumed-notification	162992353174208	162992229734500
187	6.233333	162992229825916	162992267144333	consumed-notification	162992386509583	162992267148208
188	6.266667	162992267251041	162992285885916	consumed-notification	162992419838333	162992285889208
189	6.300000	162992285991500	162992323301333	consumed-notification	162992453164666	162992323304916
190	6.333333	162992323390000	162992360741291	consumed-notification	162992486500000	162992360745208
191	6.366667	162992360839666	162992396192458	consumed-notification	162992519841583	162992396197166
192	6.400000	162992396307666	162992432256333	consumed-notification	162992553171166	162992432260750
193	6.433333	162992432356333	162992450978250	consumed-notification	162992586502250	162992450982791
194	6.466667	162992451090666	162992484684833	consumed-notification	162992619835875	162992484688083
195	6.500000	162992484781458	162992522131041	consumed-notification	162992653164541	162992522135125
196	6.533333	162992522247541	162992559562666	consumed-notification	162992686509583	162992559567250
197	6.566667	162992559664583	162992595305375	consumed-notification	162992719854583	162992595308708
198	6.600000	162992595410458	162992632724541	consumed-notification	162992753181000	162992632728291
199	6.633333	162992632831000	162992651422625	consumed-notification	162992786504875	162992651425541
200	6.666667	162992651526250	162992687779625	consumed-notification	162992819845666	162992687783500
201	6.700000	162992687880791	162992725234458	consumed-notification	162992853164541	162992725239166
202	6.733333	162992725345750	162992761859333	consumed-notification	162992886499166	162992761863000
203	6.766667	162992761960708	162992795898875	consumed-notification	162992919862333	162992795902208
204	6.800000	162992796003708	162992833308416	consumed-notification	162992953171500	162992833312791
205	6.833333	162992833413250	162992852028250	consumed-notification	162992986551708	162992852031875
206	6.866667	162992852141791	162992887595416	consumed-notification	162993019831916	162992887599583
207	6.900000	162992887695875	162992923420541	consumed-notification	162993053172625	162992923424250
208	6.933333	162992923534000	162992960850916	consumed-notification	162993086505333	162992960855625
209	6.966667	162992960966500	162992996021000	consumed-notification	162993119831166	162992996026333
210	7.000000	162992996159458	162993033465875	consumed-notification	162993153188666	162993033471083
211	7.033333	162993033617083	162993051055791	consumed-notification	162993186499083	162993051060041
212	7.066667	162993051196625	162993086601916	consumed-notification	162993219836375	162993086606250
213	7.100000	162993086703333	162993123999708	consumed-notification	162993253158833	162993124003750
214	7.133333	162993124115583	162993161385833	consumed-notification	162993286496333	162993161388958
215	7.166667	162993161486000	162993196908166	consumed-notification	162993319828875	162993196911250
216	7.200000	162993196993750	162993234291291	consumed-notification	162993353167958	162993234294208
217	7.233333	162993234398750	162993253008416	consumed-notification	162993386531583	162993253011083
218	7.266667	162993253106625	162993288939375	consumed-notification	162993419834125	162993288943208
219	7.300000	162993289068375	162993324466666	consumed-notification	162993453178375	162993324471375
220	7.333333	162993324635666	162993359854166	consumed-notification	162993486502833	162993359857541
221	7.366667	162993359965333	162993395961541	consumed-notification	162993519835666	162993395966666
222	7.400000	162993396114166	162993432272791	consumed-notification	162993553174041	162993432278333
223	7.433333	162993432390166	162993451022250	consumed-notification	162993586497458	162993451028208
224	7.466667	162993451174791	162993488479291	consumed-notification	162993620083375	162993488484250
225	7.500000	162993488623375	162993525892958	consumed-notification	162993653160583	162993525896208
226	7.533333	162993526001083	162993563298083	consumed-notification	162993686504708	162993563301458
227	7.566667	162993563401000	162993600434125	consumed-notification	162993719838750	162993600438333
228	7.600000	162993600560750	162993619172208	consumed-notification	162993753182000	162993619177416
229	7.633333	162993619318250	162993656555333	consumed-notification	162993786499916	162993656559791
230	7.666667	162993656698083	162993693960458	consumed-notification	162993819855291	162993693964125
231	7.700000	162993694092250	162993731404875	consumed-notification	162993853195250	162993731408416
232	7.733333	162993731516625	162993767642666	consumed-notification	162993886513875	162993767646916
233	7.766667	162993767746833	162993786349208	consumed-notification	162993919847750	162993786354833
